"","Mix_names","Compound1","Compound2","x1","Tc"
"m1512_pentane+ethanol","pentane+ethanol","pentane","ethanol",0.5,472.04
"m1513_pentane+ethanol","pentane+ethanol","pentane","ethanol",0.75,465.37
"m1514_pentane+propan-2-ol","pentane+propan-2-ol","pentane","propan-2-ol",0.159,493.9
"m1515_pentane+propan-2-ol","pentane+propan-2-ol","pentane","propan-2-ol",0.301,486.2
"m1516_pentane+propan-2-ol","pentane+propan-2-ol","pentane","propan-2-ol",0.535,473
"m1517_pentane+propan-2-ol","pentane+propan-2-ol","pentane","propan-2-ol",0.609,471
"m1518_pentane+propan-2-ol","pentane+propan-2-ol","pentane","propan-2-ol",0.676,469
"m1519_pentane+propan-2-ol","pentane+propan-2-ol","pentane","propan-2-ol",0.784,467.6
"m1520_pentane+propan-2-ol","pentane+propan-2-ol","pentane","propan-2-ol",0.837,467.8
"m1521_pentane+propan-2-ol","pentane+propan-2-ol","pentane","propan-2-ol",0.927,468.7
"m1522_pentane+butan-1-ol","pentane+butan-1-ol","pentane","butan-1-ol",0.207,542.9
"m1523_pentane+butan-1-ol","pentane+butan-1-ol","pentane","butan-1-ol",0.362,525.2
"m1524_pentane+butan-1-ol","pentane+butan-1-ol","pentane","butan-1-ol",0.474,516.6
"m1525_pentane+butan-1-ol","pentane+butan-1-ol","pentane","butan-1-ol",0.696,493.8
"m1526_pentane+butan-1-ol","pentane+butan-1-ol","pentane","butan-1-ol",0.866,477.9
"m1527_hexane+propan-1-ol","hexane+propan-1-ol","hexane","propan-1-ol",0.095,527.95
"m1528_hexane+propan-1-ol","hexane+propan-1-ol","hexane","propan-1-ol",0.1503,593.95
"m1529_hexane+propan-1-ol","hexane+propan-1-ol","hexane","propan-1-ol",0.2614,516.85
"m1530_hexane+propan-1-ol","hexane+propan-1-ol","hexane","propan-1-ol",0.423,507.95
"m1531_hexane+propan-1-ol","hexane+propan-1-ol","hexane","propan-1-ol",0.5582,503.65
"m1532_hexane+propan-1-ol","hexane+propan-1-ol","hexane","propan-1-ol",0.6652,502.15
"m1533_hexane+propan-1-ol","hexane+propan-1-ol","hexane","propan-1-ol",0.7986,503.05
"m1534_hexane+propan-1-ol","hexane+propan-1-ol","hexane","propan-1-ol",0.894,504.65
"m1535_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.0882,503.3
"m1536_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.1451,500.2
"m1537_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.222,497.1
"m1538_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.3711,493.1
"m1539_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.5332,493.2
"m1540_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.6273,494.8
"m1541_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.6968,496.2
"m1542_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.8092,499.4
"m1543_hexane+propan-2-ol","hexane+propan-2-ol","hexane","propan-2-ol",0.847,501.1
"m1544_hexane+butan-1-ol","hexane+butan-1-ol","hexane","butan-1-ol",0.1865,547.7
"m1545_hexane+butan-1-ol","hexane+butan-1-ol","hexane","butan-1-ol",0.2681,540.4
"m1546_hexane+butan-1-ol","hexane+butan-1-ol","hexane","butan-1-ol",0.3784,533.3
"m1547_hexane+butan-1-ol","hexane+butan-1-ol","hexane","butan-1-ol",0.5393,519.6
"m1548_hexane+butan-1-ol","hexane+butan-1-ol","hexane","butan-1-ol",0.6429,515.3
"m1549_hexane+butan-1-ol","hexane+butan-1-ol","hexane","butan-1-ol",0.7524,511.3
"m1550_hexane+butan-1-ol","hexane+butan-1-ol","hexane","butan-1-ol",0.8406,508.8
"m1551_hexane+butan-1-ol","hexane+butan-1-ol","hexane","butan-1-ol",0.9313,508.1
"m1552_heptane+butan-1-ol","heptane+butan-1-ol","heptane","butan-1-ol",0.1885,550.2
"m1553_heptane+butan-1-ol","heptane+butan-1-ol","heptane","butan-1-ol",0.2632,546.7
"m1554_heptane+butan-1-ol","heptane+butan-1-ol","heptane","butan-1-ol",0.4494,538.9
"m1555_heptane+butan-1-ol","heptane+butan-1-ol","heptane","butan-1-ol",0.524,537
"m1556_heptane+butan-1-ol","heptane+butan-1-ol","heptane","butan-1-ol",0.6395,535.4
"m1557_heptane+butan-1-ol","heptane+butan-1-ol","heptane","butan-1-ol",0.7614,535.7
"m1558_heptane+butan-1-ol","heptane+butan-1-ol","heptane","butan-1-ol",0.8749,537.1
"m1559_heptane+butan-1-ol","heptane+butan-1-ol","heptane","butan-1-ol",0.9613,538.9
"m1560_octane+propan-1-ol","octane+propan-1-ol","octane","propan-1-ol",0.0863,533.1
"m1561_octane+propan-1-ol","octane+propan-1-ol","octane","propan-1-ol",0.1463,532.4
"m1562_octane+propan-1-ol","octane+propan-1-ol","octane","propan-1-ol",0.263,533.1
"m1563_octane+propan-1-ol","octane+propan-1-ol","octane","propan-1-ol",0.3738,536.3
"m1564_octane+propan-1-ol","octane+propan-1-ol","octane","propan-1-ol",0.5148,542.9
"m1565_octane+propan-1-ol","octane+propan-1-ol","octane","propan-1-ol",0.5899,546.2
"m1566_octane+propan-1-ol","octane+propan-1-ol","octane","propan-1-ol",0.698,552.8
"m1567_octane+propan-1-ol","octane+propan-1-ol","octane","propan-1-ol",0.8527,561.1
"m1568_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.1544,555.5
"m1569_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.1982,554.6
"m1570_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.2056,554.4
"m1571_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.362,552.8
"m1572_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.4109,552.8
"m1573_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.5635,554.8
"m1574_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.6817,557.8
"m1575_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.7966,561.3
"m1576_octane+butan-1-ol","octane+butan-1-ol","octane","butan-1-ol",0.8597,563
"m1577_octane+propan-2-ol","octane+propan-2-ol","octane","propan-2-ol",0.035,508.55
"m1578_octane+propan-2-ol","octane+propan-2-ol","octane","propan-2-ol",0.105,509.35
"m1579_octane+propan-2-ol","octane+propan-2-ol","octane","propan-2-ol",0.149,511.2
"m1580_octane+propan-2-ol","octane+propan-2-ol","octane","propan-2-ol",0.367,522.4
"m1581_octane+butan-2-ol","octane+butan-2-ol","octane","butan-2-ol",0.055,547.6
"m1582_octane+butan-2-ol","octane+butan-2-ol","octane","butan-2-ol",0.129,546.05
"m1583_octane+butan-2-ol","octane+butan-2-ol","octane","butan-2-ol",0.145,545.9
"m1584_octane+butan-2-ol","octane+butan-2-ol","octane","butan-2-ol",0.258,545.45
"m1585_octane+butan-2-ol","octane+butan-2-ol","octane","butan-2-ol",0.333,545.9
"m1586_octane+butan-2-ol","octane+butan-2-ol","octane","butan-2-ol",0.496,549.5
"m1587_octane+pentan-2-ol","octane+pentan-2-ol","octane","pentan-2-ol",0.129,571.9
"m1588_octane+pentan-2-ol","octane+pentan-2-ol","octane","pentan-2-ol",0.312,565.45
"m1589_octane+pentan-2-ol","octane+pentan-2-ol","octane","pentan-2-ol",0.486,563.2
"m1590_octane+pentan-2-ol","octane+pentan-2-ol","octane","pentan-2-ol",0.523,563.1
"m1591_octane+pentan-2-ol","octane+pentan-2-ol","octane","pentan-2-ol",0.616,563
"m1592_octane+pentan-2-ol","octane+pentan-2-ol","octane","pentan-2-ol",0.766,564.35
"m1593_octane+pentan-2-ol","octane+pentan-2-ol","octane","pentan-2-ol",0.776,564.55
"m1594_cyclohexane+ethanol","cyclohexane+ethanol","cyclohexane","ethanol",0.1375,512
"m1595_cyclohexane+ethanol","cyclohexane+ethanol","cyclohexane","ethanol",0.302,509.9
"m1596_cyclohexane+ethanol","cyclohexane+ethanol","cyclohexane","ethanol",0.398,511.5
"m1597_cyclohexane+ethanol","cyclohexane+ethanol","cyclohexane","ethanol",0.4955,515.2
"m1598_cyclohexane+ethanol","cyclohexane+ethanol","cyclohexane","ethanol",0.5653,519.6
"m1599_cyclohexane+ethanol","cyclohexane+ethanol","cyclohexane","ethanol",0.8,534.5
"m1600_toluene+ethanol","toluene+ethanol","toluene","ethanol",0.472,548.8
"m1601_toluene+ethanol","toluene+ethanol","toluene","ethanol",0.4925,551
"m1602_toluene+ethanol","toluene+ethanol","toluene","ethanol",0.5033,550
"m1603_toluene+ethanol","toluene+ethanol","toluene","ethanol",0.5062,549.8
"m1604_ethylbenzene+ethanol","ethylbenzene+ethanol","ethylbenzene","ethanol",0.4955,567.5
"m1605_ethylbenzene+ethanol","ethylbenzene+ethanol","ethylbenzene","ethanol",0.4957,567.4
"m1606_ethylbenzene+ethanol","ethylbenzene+ethanol","ethylbenzene","ethanol",0.498,565.6
"m1607_methanol+butan-1-ol","methanol+butan-1-ol","methanol","butan-1-ol",0.2381,554.11
"m1608_methanol+butan-1-ol","methanol+butan-1-ol","methanol","butan-1-ol",0.5307,540.42
"m1609_methanol+butan-1-ol","methanol+butan-1-ol","methanol","butan-1-ol",0.6993,531.37
"m1610_methanol+butan-1-ol","methanol+butan-1-ol","methanol","butan-1-ol",0.8334,522.99
"m1611_butan-1-ol+butan-2-ol","butan-1-ol+butan-2-ol","butan-1-ol","butan-2-ol",0.2214,551.26
"m1612_butan-1-ol+butan-2-ol","butan-1-ol+butan-2-ol","butan-1-ol","butan-2-ol",0.5103,555.63
"m1613_butan-1-ol+butan-2-ol","butan-1-ol+butan-2-ol","butan-1-ol","butan-2-ol",0.764,559.4
"m1614_butan-1-ol+ethoxyethane","butan-1-ol+ethoxyethane","butan-1-ol","ethoxyethane",0.2561,492.64
"m1615_butan-1-ol+ethoxyethane","butan-1-ol+ethoxyethane","butan-1-ol","ethoxyethane",0.5235,521.09
"m1616_butan-1-ol+ethoxyethane","butan-1-ol+ethoxyethane","butan-1-ol","ethoxyethane",0.7288,539.19
"m1617_butan-1-ol+ethoxyethane","butan-1-ol+ethoxyethane","butan-1-ol","ethoxyethane",0.869,551.72
"m1618_methanol+water","methanol+water","methanol","water",0.773,523
"m1619_ethanol+water","ethanol+water","ethanol","water",0.33,573
"m1620_ethanol+water","ethanol+water","ethanol","water",0.49,548
"m1621_ethanol+water","ethanol+water","ethanol","water",0.281,576
"m1622_ethanol+water","ethanol+water","ethanol","water",0.54,538
"m1623_ethanol+water","ethanol+water","ethanol","water",0.75,521
"m1624_ethanol+water","ethanol+water","ethanol","water",0.083,618.1
"m1625_ethanol+water","ethanol+water","ethanol","water",0.11,613
"m1626_ethanol+water","ethanol+water","ethanol","water",0.126,608
"m1627_ethanol+water","ethanol+water","ethanol","water",0.179,598.9
"m1628_ethanol+water","ethanol+water","ethanol","water",0.206,590.8
"m1629_ethanol+water","ethanol+water","ethanol","water",0.244,584.8
"m1630_ethanol+water","ethanol+water","ethanol","water",0.278,580.7
"m1631_ethanol+water","ethanol+water","ethanol","water",0.324,569.7
"m1632_ethanol+water","ethanol+water","ethanol","water",0.38,561.6
"m1633_ethanol+water","ethanol+water","ethanol","water",0.415,557.6
"m1634_ethanol+water","ethanol+water","ethanol","water",0.468,550.5
"m1635_ethanol+water","ethanol+water","ethanol","water",0.528,543.5
"m1636_ethanol+water","ethanol+water","ethanol","water",0.594,537.4
"m1637_ethanol+water","ethanol+water","ethanol","water",0.673,532.4
"m1638_ethanol+water","ethanol+water","ethanol","water",0.755,526.3
"m1639_ethanol+water","ethanol+water","ethanol","water",0.861,521.2
"m1646_propan-2-ol+water","propan-2-ol+water","propan-2-ol","water",0.27,673
"m1647_propan-2-ol+water","propan-2-ol+water","propan-2-ol","water",0.4,648
"m1648_propan-2-ol+water","propan-2-ol+water","propan-2-ol","water",0.63,623
"m1649_ethane+propan-2-one","ethane+propan-2-one","ethane","propan-2-one",0.265,478
"m1650_ethane+propan-2-one","ethane+propan-2-one","ethane","propan-2-one",0.499,436.5
"m1651_ethane+propan-2-one","ethane+propan-2-one","ethane","propan-2-one",0.661,396.1
"m1652_ethane+propan-2-one","ethane+propan-2-one","ethane","propan-2-one",0.788,361.3
"m1653_ethane+propan-2-one","ethane+propan-2-one","ethane","propan-2-one",0.827,348.2
"m1654_propane+propan-2-one","propane+propan-2-one","propane","propan-2-one",0.138,491.5
"m1655_propane+propan-2-one","propane+propan-2-one","propane","propan-2-one",0.339,464.4
"m1656_propane+propan-2-one","propane+propan-2-one","propane","propan-2-one",0.507,438.1
"m1657_propane+propan-2-one","propane+propan-2-one","propane","propan-2-one",0.666,413
"m1658_propane+propan-2-one","propane+propan-2-one","propane","propan-2-one",0.779,396.1
"m1659_butane+propan-2-one","butane+propan-2-one","butane","propan-2-one",0.254,482
"m1660_butane+propan-2-one","butane+propan-2-one","butane","propan-2-one",0.403,465.9
"m1661_butane+propan-2-one","butane+propan-2-one","butane","propan-2-one",0.626,446.2
"m1662_butane+propan-2-one","butane+propan-2-one","butane","propan-2-one",0.771,434.5
"m1663_pentane+propan-2-one","pentane+propan-2-one","pentane","propan-2-one",0.071,500
"m1664_pentane+propan-2-one","pentane+propan-2-one","pentane","propan-2-one",0.315,483.7
"m1665_pentane+propan-2-one","pentane+propan-2-one","pentane","propan-2-one",0.539,472.3
"m1666_pentane+propan-2-one","pentane+propan-2-one","pentane","propan-2-one",0.626,468.7
"m1667_pentane+propan-2-one","pentane+propan-2-one","pentane","propan-2-one",0.799,467.7
"m1668_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.072,503.8
"m1669_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.161,498.7
"m1670_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.359,493.6
"m1671_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.441,493.1
"m1672_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.696,496.4
"m1673_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.889,502.6
"m1674_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.4819,493.6
"m1675_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.4969,493.4
"m1676_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.4969,493.1
"m1677_hexane+propan-2-one","hexane+propan-2-one","hexane","propan-2-one",0.4972,493.3
"m1678_heptane+propan-2-one","heptane+propan-2-one","heptane","propan-2-one",0.0606,506.6
"m1679_heptane+propan-2-one","heptane+propan-2-one","heptane","propan-2-one",0.2,505.8
"m1680_heptane+propan-2-one","heptane+propan-2-one","heptane","propan-2-one",0.367,508.7
"m1681_heptane+propan-2-one","heptane+propan-2-one","heptane","propan-2-one",0.575,517
"m1682_octane+propan-2-one","octane+propan-2-one","octane","propan-2-one",0.0187,507.9
"m1683_octane+propan-2-one","octane+propan-2-one","octane","propan-2-one",0.041,508.1
"m1684_octane+propan-2-one","octane+propan-2-one","octane","propan-2-one",0.151,511
"m1685_octane+propan-2-one","octane+propan-2-one","octane","propan-2-one",0.286,518.1
"m1686_octane+propan-2-one","octane+propan-2-one","octane","propan-2-one",0.514,535.1
"m1687_octane+propan-2-one","octane+propan-2-one","octane","propan-2-one",0.614,543.2
"m1688_octane+propan-2-one","octane+propan-2-one","octane","propan-2-one",0.772,554.9
"m1689_decane+propan-2-one","decane+propan-2-one","decane","propan-2-one",0.025,513.3
"m1690_decane+propan-2-one","decane+propan-2-one","decane","propan-2-one",0.057,515.1
"m1691_decane+propan-2-one","decane+propan-2-one","decane","propan-2-one",0.111,515.5
"m1692_decane+propan-2-one","decane+propan-2-one","decane","propan-2-one",0.162,521.3
"m1693_decane+propan-2-one","decane+propan-2-one","decane","propan-2-one",0.206,533.1
"m1694_decane+propan-2-one","decane+propan-2-one","decane","propan-2-one",0.318,542.9
"m1695_decane+propan-2-one","decane+propan-2-one","decane","propan-2-one",0.365,550.7
"m1696_tridecane+propan-2-one","tridecane+propan-2-one","tridecane","propan-2-one",0.055,520.7
"m1697_tridecane+propan-2-one","tridecane+propan-2-one","tridecane","propan-2-one",0.108,536.5
"m1698_tridecane+propan-2-one","tridecane+propan-2-one","tridecane","propan-2-one",0.185,563.9
"m1699_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.0925,557.1
"m1700_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.158,552.85
"m1701_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.216,549.9
"m1702_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.329,543.35
"m1703_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.441,537.15
"m1704_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.544,532.05
"m1705_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.653,526.1
"m1706_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.764,520.5
"m1707_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.825,517.25
"m1708_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.869,514.7
"m1709_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.937,511.35
"m1710_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.265,548.2
"m1711_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.471,536.8
"m1712_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.65,527.4
"m1713_propan-2-one+benzene","propan-2-one+benzene","propan-2-one","benzene",0.8315,517
"m1714_propan-2-one+cyclohexane","propan-2-one+cyclohexane","propan-2-one","cyclohexane",0.4961,521.2
"m1715_propan-2-one+cyclohexane","propan-2-one+cyclohexane","propan-2-one","cyclohexane",0.4985,521
"m1716_propan-2-one+cyclohexane","propan-2-one+cyclohexane","propan-2-one","cyclohexane",0.4995,520.8
"m1717_propan-2-one+cyclohexane","propan-2-one+cyclohexane","propan-2-one","cyclohexane",0.5043,520.7
"m1718_propan-2-one+cyclohexane","propan-2-one+cyclohexane","propan-2-one","cyclohexane",0.5065,520.6
"m1719_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.1961,533.8
"m1720_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.3993,528.1
"m1721_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.596,522.9
"m1722_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.8034,515.6
"m1723_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.0771,534.2
"m1724_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.225,530.65
"m1725_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.3985,527.3
"m1726_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.53,522.9
"m1727_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.6057,521.3
"m1728_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.706,518.15
"m1729_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.7694,516.2
"m1730_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.865,512.85
"m1731_propan-2-one+trichloromethane","propan-2-one+trichloromethane","propan-2-one","trichloromethane",0.9598,509.65
"m1732_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.065,552.65
"m1733_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.125,549.55
"m1734_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.209,544.85
"m1735_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.276,541.55
"m1736_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.395,535.65
"m1737_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.529,528.75
"m1738_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.645,523.05
"m1739_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.782,516.7
"m1740_propan-2-one+tetrachloromethane","propan-2-one+tetrachloromethane","propan-2-one","tetrachloromethane",0.9525,509.8
"m1741_propan-2-one+ethoxyethane","propan-2-one+ethoxyethane","propan-2-one","ethoxyethane",0.247,472.8
"m1742_propan-2-one+ethoxyethane","propan-2-one+ethoxyethane","propan-2-one","ethoxyethane",0.465,481.5
"m1743_propan-2-one+ethoxyethane","propan-2-one+ethoxyethane","propan-2-one","ethoxyethane",0.656,489.5
"m1744_propan-2-one+ethoxyethane","propan-2-one+ethoxyethane","propan-2-one","ethoxyethane",0.838,499.9
"m1745_propan-2-one+water","propan-2-one+water","propan-2-one","water",0.555,523
"m1746_butan-2-one+hexane","butan-2-one+hexane","butan-2-one","hexane",0.1,506.05
"m1747_butan-2-one+hexane","butan-2-one+hexane","butan-2-one","hexane",0.3,505.75
"m1748_butan-2-one+hexane","butan-2-one+hexane","butan-2-one","hexane",0.5,509.65
"m1749_butan-2-one+hexane","butan-2-one+hexane","butan-2-one","hexane",0.7,517.7
"m1750_butan-2-one+hexane","butan-2-one+hexane","butan-2-one","hexane",0.9,529.15
"m1751_butan-2-one+diethylamine","butan-2-one+diethylamine","butan-2-one","diethylamine",0.1,501.27
"m1752_butan-2-one+diethylamine","butan-2-one+diethylamine","butan-2-one","diethylamine",0.3,505.9
"m1753_butan-2-one+diethylamine","butan-2-one+diethylamine","butan-2-one","diethylamine",0.5,512.15
"m1754_butan-2-one+diethylamine","butan-2-one+diethylamine","butan-2-one","diethylamine",0.7,519.9
"m1755_butan-2-one+diethylamine","butan-2-one+diethylamine","butan-2-one","diethylamine",0.9,529.65
"m1756_ethoxyethane+benzene","ethoxyethane+benzene","ethoxyethane","benzene",0.1955,544
"m1757_ethoxyethane+benzene","ethoxyethane+benzene","ethoxyethane","benzene",0.4035,524
"m1758_ethoxyethane+benzene","ethoxyethane+benzene","ethoxyethane","benzene",0.6117,504.4
"m1759_ethoxyethane+benzene","ethoxyethane+benzene","ethoxyethane","benzene",0.8179,484.3
"m1760_ethoxyethane+trichloromethane","ethoxyethane+trichloromethane","ethoxyethane","trichloromethane",0.203,526.4
"m1761_ethoxyethane+trichloromethane","ethoxyethane+trichloromethane","ethoxyethane","trichloromethane",0.399,511.3
"m1762_ethoxyethane+trichloromethane","ethoxyethane+trichloromethane","ethoxyethane","trichloromethane",0.605,497.3
"m1763_ethoxyethane+trichloromethane","ethoxyethane+trichloromethane","ethoxyethane","trichloromethane",0.8,482.9
"m1764_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.024,467.2
"m1765_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.051,467.3
"m1766_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.118,468
"m1767_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.1925,469.6
"m1768_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.226,470.8
"m1769_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.26,472.5
"m1770_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.275,473.3
"m1771_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.298,474
"m1772_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.3,474.2
"m1773_ethoxyethane+water","ethoxyethane+water","ethoxyethane","water",0.316,475.1
"m1774_ethane+water","ethane+water","ethane","water",0.175,629
"m1775_ethane+water","ethane+water","ethane","water",0.225,623
"m1776_ethane+water","ethane+water","ethane","water",0.24,623
"m1777_ethane+water","ethane+water","ethane","water",0.295,629
"m1778_ethane+water","ethane+water","ethane","water",0.315,643
"m1779_ethane+water","ethane+water","ethane","water",0.32,651
"m1780_ethane+water","ethane+water","ethane","water",0.325,658
"m1781_ethane+water","ethane+water","ethane","water",0.34,673
"m1782_butane+water","butane+water","butane","water",0.16,673
"m1783_butane+water","butane+water","butane","water",0.26,683
"m1784_butane+water","butane+water","butane","water",0.37,703
"m1785_butane+water","butane+water","butane","water",0.09,628
"m1786_butane+water","butane+water","butane","water",0.15,628
"m1787_butane+water","butane+water","butane","water",0.17,637
"m1788_pentane+water","pentane+water","pentane","water",0.08,625
"m1789_hexane+trichloromethane","hexane+trichloromethane","hexane","trichloromethane",0.4894,516
"m1790_hexane+trichloromethane","hexane+trichloromethane","hexane","trichloromethane",0.496,515.8
"m1791_hexane+trichloromethane","hexane+trichloromethane","hexane","trichloromethane",0.4983,516
"m1792_hexane+diethylamine","hexane+diethylamine","hexane","diethylamine",0.1,496.65
"m1793_hexane+diethylamine","hexane+diethylamine","hexane","diethylamine",0.3,497.85
"m1794_hexane+diethylamine","hexane+diethylamine","hexane","diethylamine",0.5,500.03
"m1795_hexane+diethylamine","hexane+diethylamine","hexane","diethylamine",0.7,502.35
"m1796_hexane+diethylamine","hexane+diethylamine","hexane","diethylamine",0.9,505.65
"m1797_hexane+acetic acid","hexane+acetic acid","hexane","acetic acid",0.522,514.2
"m1798_hexane+acetic acid","hexane+acetic acid","hexane","acetic acid",0.654,507.7
"m1799_hexane+acetic acid","hexane+acetic acid","hexane","acetic acid",0.756,505.4
"m1800_hexane+acetic acid","hexane+acetic acid","hexane","acetic acid",0.784,505.3
"m1801_hexane+acetic acid","hexane+acetic acid","hexane","acetic acid",0.856,506
"m1802_heptane+water","heptane+water","heptane","water",0.04,628
"m1803_heptane+water","heptane+water","heptane","water",0.06,628
"m1804_octane+acetic acid","octane+acetic acid","octane","acetic acid",0.131,567.7
"m1805_octane+acetic acid","octane+acetic acid","octane","acetic acid",0.266,553.6
"m1806_octane+acetic acid","octane+acetic acid","octane","acetic acid",0.431,548.5
"m1807_octane+acetic acid","octane+acetic acid","octane","acetic acid",0.622,552.1
"m1808_octane+acetic acid","octane+acetic acid","octane","acetic acid",0.768,557.1
"m1809_octane+pyridine","octane+pyridine","octane","pyridine",0.28,589.6
"m1810_octane+pyridine","octane+pyridine","octane","pyridine",0.491,577.3
"m1811_octane+pyridine","octane+pyridine","octane","pyridine",0.559,574.5
"m1812_octane+pyridine","octane+pyridine","octane","pyridine",0.701,570.8
"m1813_decane+acetic acid","decane+acetic acid","decane","acetic acid",0.086,578.3
"m1814_decane+acetic acid","decane+acetic acid","decane","acetic acid",0.135,574.3
"m1815_decane+acetic acid","decane+acetic acid","decane","acetic acid",0.185,572.2
"m1816_decane+acetic acid","decane+acetic acid","decane","acetic acid",0.284,572.6
"m1817_decane+acetic acid","decane+acetic acid","decane","acetic acid",0.403,577.4
"m1818_decane+pyridine","decane+pyridine","decane","pyridine",0.317,605.1
"m1819_decane+pyridine","decane+pyridine","decane","pyridine",0.426,605.7
"m1820_decane+pyridine","decane+pyridine","decane","pyridine",0.663,609.8
"m1821_decane+pyridine","decane+pyridine","decane","pyridine",0.708,610.6
"m1822_dodecane+acetic acid","dodecane+acetic acid","dodecane","acetic acid",0.032,589.1
"m1823_dodecane+acetic acid","dodecane+acetic acid","dodecane","acetic acid",0.075,584.6
